"year" "low" "estimate" "high"
"1959" 79.8269099931562 62.5161347001809 101.931054912725
"1960" 78.071150724387 62.3424980465643 97.7680517530344
"1961" 80.6130455712958 65.7707925276411 98.8046953143943
"1962" 55.5089672097002 43.2896570703767 71.1774047015052
"1963" 55.1807835642217 42.0966963690837 72.3315399399775
"1964" 56.3339292330629 44.9394501762008 70.6174991103113
"1965" 60.0630435329941 48.4706286667554 74.4279432241132
"1966" 66.9914206797857 54.8779890254763 81.7786971496459
"1967" 52.877141035018 41.3317836535452 67.6475050647217
"1968" 61.5293500507033 45.823476800965 82.6183690536169
"1969" 69.0562025996847 48.5914144424344 98.1399527510807
"1970" 74.1933821696056 46.7518568622477 117.74201769107
"1971" 78.6742473924852 41.7804968114919 148.146567780197
"1972" 78.6222258678455 29.0469264729069 212.809241837693
"1973" 95.7701966267009 24.7711286828854 370.266961967459
"1974" 107.025848491926 19.2724005943275 594.349011652861
"1975" 179.872051454919 25.9926493862728 1244.73478689278
"1976" 200.744655010588 30.3682267239279 1326.99274414887
"1977" 299.257829042282 47.9175315545738 1868.94535961445
"1978" 477.537841457294 87.2972524820373 2612.25162923215
"1979" 694.042017850164 143.460236048728 3357.68527787668
"1980" 1029.14530532564 233.51432728003 4535.65342996575
"1981" 1587.63319938554 400.324997197516 6296.33221366775
"1982" 2102.26966271027 571.155174398465 7737.8931905967
"1983" 2283.5069605183 660.955308545674 7889.19306845267
"1984" 2776.35040272877 839.476004604656 9182.06299697905
"1985" 4108.47451685563 1255.26379510646 13447.024379621
"1986" 4117.10177889151 1261.19074445116 13440.0978855328
"1987" 3925.59976015688 1202.36338576629 12816.7022211197
"1988" 3317.29083497516 1018.10216695237 10808.7565678711
"1989" 2773.28026006673 849.929887780063 9049.0798258244
"1990" 2881.02778399529 880.532225926704 9426.4819023713
"1991" 2312.6596183245 708.179778771378 7552.31181481597
"1992" 1455.60221705095 447.816991558991 4731.34752414709
"1993" 945.934160197852 288.059937015342 3106.26824646414
"1994" 864.691314549147 263.870565543834 2833.55238169801
"1995" 1368.34252948558 414.213635067871 4520.27919769516
"1996" 1058.54834162303 323.159349642338 3467.40576372932
"1997" 1077.81611975519 330.584467048 3514.04165591201
"1998" 1722.43949841831 531.215812733622 5584.92001667734
"1999" 1903.11488120272 590.150733999593 6137.15453085882
"2000" 2253.80423976618 695.03291377493 7308.47913892166
"2001" 2515.4608664304 774.256647233733 8172.41078026239
"2002" 2274.11904588681 706.497857717845 7320.07518263489
"2003" 2236.77579435275 697.412468962228 7173.89805439995
"2004" 1896.43878037029 587.994488864596 6116.51999432351
"2005" 1423.86786941021 439.441036604392 4613.58758208995
"2006" 1229.00052737896 375.501125774941 4022.4707533981
"2007" 1196.0020535033 368.638918832322 3880.27644100905
"2008" 1044.54634845765 322.754420321891 3380.51783454443
"2009" 1197.65556076044 369.932112240881 3877.41100260689
"2010" 1031.18402765188 319.424290324156 3328.92810939725
"2011" 930.971828482164 288.93970002626 2999.61737811957
"2012" 955.005472226686 291.171926785176 3132.29184575823
"2013" 1014.86380578744 308.848066949296 3334.80651010991
"2014" 1265.35759701951 379.112185145903 4223.36688470933
