"R(age 2)" "Low" "High" "SSB" "Low" "High" "Fbar(4-9)" "Low" "High"
"1959" 51 22 119 73 58 93 0.335 0.237 0.472
"1960" 50 23 108 72 58 89 0.376 0.274 0.517
"1961" 65 31 138 73 60 89 0.523 0.382 0.716
"1962" 77 36 163 53 41 67 0.403 0.291 0.558
"1963" 101 46 221 51 39 66 0.332 0.239 0.461
"1964" 115 50 263 52 41 66 0.387 0.279 0.537
"1965" 100 42 241 57 45 72 0.384 0.271 0.545
"1966" 127 47 339 64 48 85 0.502 0.328 0.768
"1967" 109 37 321 57 36 90 0.367 0.203 0.667
"1968" 97 29 323 71 37 137 0.29 0.131 0.639
"1969" 98 26 368 87 36 209 0.264 0.095 0.739
"1970" 132 30 578 104 33 329 0.24 0.068 0.843
"1971" 121 25 588 129 31 533 0.242 0.054 1.084
"1972" 131 24 706 157 27 900 0.141 0.025 0.787
"1973" 171 28 1022 211 30 1475 0.141 0.023 0.878
"1974" 215 33 1422 255 31 2099 0.133 0.019 0.921
"1975" 265 36 1929 370 39 3478 0.09 0.012 0.674
"1976" 182 25 1328 377 38 3775 0.052 0.007 0.403
"1977" 122 17 905 505 48 5297 0.045 0.006 0.368
"1978" 85 11 633 639 60 6801 0.042 0.005 0.349
"1979" 107 14 817 807 75 8734 0.038 0.005 0.315
"1980" 150 19 1212 1003 92 10936 0.047 0.006 0.391
"1981" 127 16 1028 1299 118 14251 0.049 0.006 0.41
"1982" 227 26 1964 1691 150 19095 0.04 0.005 0.35
"1983" 244 28 2143 2089 182 23985 0.047 0.005 0.419
"1984" 182 21 1559 2337 203 26899 0.036 0.004 0.332
"1985" 204 24 1772 3054 261 35703 0.039 0.004 0.365
"1986" 250 29 2186 3286 277 38941 0.044 0.005 0.423
"1987" 362 40 3255 3080 258 36746 0.046 0.005 0.448
"1988" 394 44 3562 2542 213 30339 0.042 0.004 0.413
"1989" 346 38 3134 1993 167 23725 0.041 0.004 0.401
"1990" 215 24 1895 1745 146 20832 0.042 0.004 0.423
"1991" 255 27 2384 1391 117 16498 0.048 0.005 0.499
"1992" 126 14 1134 809 70 9291 0.061 0.006 0.644
"1993" 88 10 810 622 54 7178 0.025 0.002 0.263
"1994" 79 9 716 597 52 6844 0.001 0 0.013
"1995" 74 8 656 829 74 9301 0.001 0 0.006
"1996" 88 10 791 690 63 7611 0.001 0 0.012
"1997" 106 12 964 712 66 7633 0.012 0.001 0.116
"1998" 97 11 875 1053 96 11568 0.019 0.002 0.185
"1999" 145 16 1344 1155 104 12772 0.026 0.003 0.258
"2000" 140 15 1270 1470 128 16873 0.02 0.002 0.203
"2001" 161 17 1507 1512 129 17774 0.016 0.002 0.17
"2002" 77 9 688 1379 120 15912 0.017 0.002 0.176
"2003" 114 12 1056 1399 122 16081 0.016 0.002 0.17
"2004" 149 16 1393 1253 108 14570 0.018 0.002 0.186
"2005" 83 9 737 1004 86 11677 0.021 0.002 0.224
"2006" 140 15 1322 821 70 9594 0.025 0.002 0.264
"2007" 163 18 1493 745 63 8831 0.031 0.003 0.33
"2008" 178 19 1647 669 57 7905 0.029 0.003 0.312
"2009" 211 23 1957 712 59 8535 0.019 0.002 0.203
"2010" 347 36 3306 535 46 6234 0.017 0.002 0.189
"2011" 233 26 2122 498 44 5591 0.013 0.001 0.145
"2012" 250 27 2335 522 47 5840 0.008 0.001 0.088
"2013" 309 32 2978 505 46 5595 0.007 0.001 0.08
"2014" 206 22 1930 486 45 5246 0.011 0.001 0.112
"2015" 156 17 1465 464 43 5007 0.01 0.001 0.103
"2016" 148 15 1486 504 47 5362 0.01 0.001 0.1
