"R(age 2)" "Low" "High" "SSB" "Low" "High" "Fbar(4-6)" "Low" "High"
"1959" 50 22 117 73 58 92 0.277 0.176 0.436
"1960" 49 23 107 72 58 89 0.299 0.197 0.455
"1961" 65 31 137 73 60 89 0.384 0.257 0.576
"1962" 76 36 161 53 41 67 0.335 0.223 0.502
"1963" 100 46 218 50 39 66 0.274 0.181 0.415
"1964" 113 50 258 52 41 65 0.303 0.198 0.462
"1965" 98 41 235 57 45 72 0.289 0.184 0.453
"1966" 123 46 331 63 48 84 0.352 0.21 0.592
"1967" 105 35 311 56 36 87 0.293 0.153 0.563
"1968" 93 27 313 69 36 131 0.231 0.103 0.518
"1969" 92 24 359 82 34 199 0.202 0.075 0.545
"1970" 124 27 574 98 31 314 0.211 0.064 0.693
"1971" 113 22 589 119 27 516 0.225 0.054 0.931
"1972" 123 21 717 142 22 901 0.129 0.025 0.656
"1973" 160 24 1057 189 24 1517 0.147 0.025 0.856
"1974" 203 27 1494 227 23 2224 0.159 0.023 1.08
"1975" 251 31 2059 327 28 3766 0.124 0.016 0.97
"1976" 172 21 1430 334 27 4159 0.086 0.01 0.717
"1977" 116 14 980 445 34 5856 0.07 0.008 0.621
"1978" 81 9 688 563 42 7533 0.063 0.007 0.57
"1979" 102 12 905 712 52 9678 0.058 0.006 0.528
"1980" 145 16 1359 884 65 12105 0.071 0.008 0.648
"1981" 123 13 1158 1147 83 15774 0.074 0.008 0.695
"1982" 222 22 2260 1484 104 21141 0.058 0.006 0.57
"1983" 241 23 2508 1827 126 26542 0.07 0.007 0.7
"1984" 180 18 1827 2044 140 29768 0.051 0.005 0.532
"1985" 202 20 2082 2650 179 39317 0.05 0.005 0.531
"1986" 248 24 2578 2846 189 42947 0.061 0.006 0.665
"1987" 360 34 3858 2665 175 40549 0.065 0.006 0.725
"1988" 392 36 4229 2201 145 33530 0.062 0.005 0.706
"1989" 345 32 3725 1734 114 26335 0.062 0.005 0.705
"1990" 214 20 2247 1524 100 23210 0.061 0.005 0.716
"1991" 254 23 2837 1234 82 18621 0.067 0.006 0.812
"1992" 125 12 1345 745 51 10832 0.081 0.007 0.986
"1993" 87 8 949 604 41 8868 0.032 0.003 0.391
"1994" 79 7 851 564 39 8171 0.002 0 0.018
"1995" 74 7 785 775 55 10913 0.001 0 0.008
"1996" 87 8 939 659 48 9112 0.001 0 0.015
"1997" 101 9 1103 709 53 9519 0.012 0.001 0.136
"1998" 89 8 955 1038 75 14330 0.016 0.001 0.181
"1999" 133 12 1472 1143 82 15921 0.021 0.002 0.234
"2000" 128 12 1391 1447 100 21032 0.015 0.001 0.168
"2001" 144 13 1613 1484 99 22173 0.013 0.001 0.148
"2002" 66 6 705 1348 92 19739 0.014 0.001 0.164
"2003" 92 8 1012 1346 92 19661 0.013 0.001 0.15
"2004" 124 11 1377 1168 79 17298 0.017 0.001 0.197
"2005" 69 7 733 878 59 13002 0.021 0.002 0.243
"2006" 122 11 1381 710 48 10537 0.024 0.002 0.283
"2007" 146 13 1600 650 43 9818 0.027 0.002 0.323
"2008" 167 15 1861 604 40 9108 0.021 0.002 0.247
"2009" 188 17 2076 663 43 10172 0.012 0.001 0.145
"2010" 321 28 3667 507 34 7508 0.012 0.001 0.148
"2011" 218 20 2380 467 33 6621 0.009 0.001 0.107
"2012" 230 21 2567 491 35 6927 0.005 0 0.057
"2013" 291 25 3362 481 35 6682 0.005 0 0.057
"2014" 190 17 2113 469 35 6314 0.006 0.001 0.073
"2015" 149 13 1669 454 34 6102 0.006 0 0.066
"2016" 143 12 1709 499 38 6575 0.005 0 0.06
