"R(age 2)" "Low" "High" "SSB" "Low" "High" "Fbar(4-9)" "Low" "High"
"1962" 80 32 198 54 41 70 0.368 0.258 0.527
"1963" 100 43 234 53 40 71 0.312 0.22 0.442
"1964" 113 48 270 54 42 68 0.371 0.263 0.525
"1965" 99 39 249 58 45 75 0.374 0.258 0.541
"1966" 127 46 353 66 48 89 0.491 0.311 0.775
"1967" 110 36 339 59 36 96 0.357 0.188 0.677
"1968" 100 29 345 73 36 150 0.279 0.12 0.648
"1969" 101 26 396 91 35 232 0.252 0.085 0.742
"1970" 138 31 626 111 33 369 0.226 0.062 0.831
"1971" 127 25 638 138 32 599 0.225 0.049 1.041
"1972" 139 25 766 171 29 1005 0.13 0.023 0.732
"1973" 183 30 1110 233 33 1629 0.129 0.021 0.803
"1974" 232 35 1544 283 35 2290 0.122 0.018 0.83
"1975" 287 39 2098 415 46 3758 0.082 0.011 0.603
"1976" 196 27 1442 423 44 4052 0.048 0.006 0.361
"1977" 132 18 982 568 57 5674 0.041 0.005 0.328
"1978" 91 12 688 718 71 7272 0.038 0.005 0.311
"1979" 115 15 888 909 88 9348 0.035 0.004 0.282
"1980" 164 20 1321 1129 109 11696 0.043 0.005 0.35
"1981" 139 17 1120 1463 140 15240 0.044 0.005 0.366
"1982" 252 29 2153 1906 178 20391 0.036 0.004 0.31
"1983" 272 31 2357 2355 217 25540 0.042 0.005 0.37
"1984" 201 24 1705 2631 242 28608 0.033 0.004 0.291
"1985" 226 26 1940 3447 313 38001 0.035 0.004 0.318
"1986" 277 32 2390 3714 333 41433 0.04 0.004 0.367
"1987" 404 46 3569 3480 310 39039 0.041 0.004 0.386
"1988" 440 50 3905 2874 256 32252 0.037 0.004 0.355
"1989" 386 44 3426 2249 201 25177 0.037 0.004 0.346
"1990" 237 27 2062 1972 176 22122 0.037 0.004 0.361
"1991" 286 31 2605 1571 141 17519 0.043 0.004 0.425
"1992" 139 16 1231 904 83 9798 0.055 0.005 0.551
"1993" 98 11 883 695 64 7564 0.023 0.002 0.226
"1994" 87 10 780 669 62 7241 0.001 0 0.011
"1995" 81 9 710 936 88 9941 0.001 0 0.005
"1996" 97 11 858 774 74 8107 0.001 0 0.011
"1997" 117 13 1048 793 78 8102 0.011 0.001 0.102
"1998" 107 12 951 1180 113 12312 0.017 0.002 0.16
"1999" 161 18 1467 1292 123 13563 0.023 0.002 0.223
"2000" 156 18 1386 1652 152 17925 0.018 0.002 0.174
"2001" 181 20 1646 1704 154 18879 0.015 0.001 0.145
"2002" 85 10 749 1550 142 16879 0.015 0.002 0.151
"2003" 127 14 1150 1571 145 17054 0.014 0.001 0.144
"2004" 166 18 1516 1412 129 15485 0.016 0.002 0.158
"2005" 91 10 800 1130 103 12402 0.019 0.002 0.191
"2006" 155 17 1439 923 84 10183 0.022 0.002 0.225
"2007" 181 20 1623 838 75 9355 0.028 0.003 0.282
"2008" 198 22 1794 752 68 8366 0.026 0.003 0.265
"2009" 234 26 2129 803 71 9055 0.017 0.002 0.172
"2010" 389 42 3601 602 55 6602 0.016 0.002 0.16
"2011" 259 29 2308 558 53 5932 0.012 0.001 0.123
"2012" 279 31 2550 586 55 6213 0.007 0.001 0.075
"2013" 347 37 3267 567 54 5956 0.007 0.001 0.068
"2014" 230 25 2114 543 53 5578 0.01 0.001 0.096
"2015" 174 19 1606 516 50 5312 0.009 0.001 0.089
"2016" 164 17 1629 560 55 5691 0.009 0.001 0.087
