"V1" "V2"
"logssb" 3.98261163196399 0.131779556339194
"logssb" 3.96833285976752 0.144041405954738
"logssb" 3.98099638155224 0.122428293409745
"logssb" 4.06708116245781 0.128084782295106
"logssb" 4.18207544085041 0.152854992306781
"logssb" 4.0700507028531 0.248820204714983
"logssb" 4.29675686129916 0.355301079512011
"logssb" 4.50617576958269 0.470911717950409
"logssb" 4.70719170706929 0.602156467627784
"logssb" 4.92769170183465 0.733482061331957
"logssb" 5.14390990947362 0.884312527787033
"logssb" 5.45009160701321 0.972672767271206
"logssb" 5.64569515214771 1.04534866835
"logssb" 6.02769789315529 1.10197330518627
"logssb" 6.04704856525993 1.12997946442346
"logssb" 6.34284624671623 1.15042904441447
"logssb" 6.5769805194838 1.15737932534704
"logssb" 6.81285312458565 1.16501894114598
"logssb" 7.02897572912487 1.16903058793602
"logssb" 7.28793602795251 1.17187735825158
"logssb" 7.55292812496492 1.18496169241215
"logssb" 7.76416143526838 1.19192429788972
"logssb" 7.87530267323815 1.19306945748388
"logssb" 8.14525906434289 1.20005585234092
"logssb" 8.21974407902528 1.20604522243192
"logssb" 8.15466631630117 1.20881952032676
"logssb" 7.96348980118282 1.20892438736662
"logssb" 7.7184413869839 1.20761795309866
"logssb" 7.58667265293505 1.20883780367333
"logssb" 7.35965049582949 1.20568452646615
"logssb" 6.80695201253193 1.19150605956572
"logssb" 6.54435944163955 1.19342718798296
"logssb" 6.50607266962073 1.19069735710468
"logssb" 6.84122728953958 1.18159977854584
"logssb" 6.65107428429891 1.17468111055852
"logssb" 6.67559039020895 1.16215988817397
"logssb" 7.07296973200936 1.17267423456928
"logssb" 7.16398042312508 1.17556225763318
"logssb" 7.40984009285002 1.19206364082657
"logssb" 7.44073246280905 1.20252770236049
"logssb" 7.34591771263514 1.19395531556842
"logssb" 7.35938462663493 1.19236620112006
"logssb" 7.25256223485892 1.1975368825375
"logssb" 7.02984678594442 1.19790194355399
"logssb" 6.8280698230948 1.20022446042162
"logssb" 6.73071377379386 1.20650058684127
"logssb" 6.62264766165633 1.20467139848148
"logssb" 6.68892757894225 1.21107245402381
"logssb" 6.39945007019067 1.197837822894
"logssb" 6.32524092464017 1.18145809990487
"logssb" 6.37326261773978 1.18054968799686
"logssb" 6.34016598157165 1.17600980917271
"logssb" 6.29641743926136 1.16510774313077
"logssb" 6.24706227512377 1.16532628139851
"logssb" 6.32799397976409 1.15934209701037
"logfbar" -0.998365917615341 0.179009336083111
"logfbar" -1.16612544183425 0.174820388818576
"logfbar" -0.990213996474353 0.173089294846828
"logfbar" -0.984826357321707 0.18532541078269
"logfbar" -0.711359019104723 0.228488102528528
"logfbar" -1.03107888656725 0.320315013577074
"logfbar" -1.27774765775869 0.422211170941052
"logfbar" -1.3802885722912 0.54086635724073
"logfbar" -1.48625630812781 0.650619494639149
"logfbar" -1.49018135304649 0.765069869197858
"logfbar" -2.04122358743654 0.864907273555334
"logfbar" -2.04462348421896 0.912834131033608
"logfbar" -2.10433462929539 0.959183415681213
"logfbar" -2.49878184683945 0.996507299560295
