Year	Age1	Age2	Age3	Age4	Age5	Age6	Age7	Age8	Age9	Age10	Age11	Age12
1983	10.3	20.2	31.2	43.1	52.9	57.8	65.6	71.5	73.4	79.4	89.6	93.7
1984	12.0	19.2	30.7	42.1	52.2	60.7	66.2	70.6	75.5	79.1	84.2	98.1
1985	NA	17.9	29.1	40.3	51.2	60.2	66.4	74.2	73.9	79.4	88.9	93.0
1986	11.0	18.8	27.1	40.3	49.0	55.7	62.1	72.2	76.4	82.8	93.3	93.9
1987	10.7	19.9	29.5	39.5	48.4	54.1	61.2	67.3	77.8	85.4	83.2	89.9
1988	9.2	19.7	29.0	40.7	47.8	56.2	62.2	66.7	74.6	79.7	79.7	87.5
1989	12.0	19.2	30.2	41.7	48.2	56.3	64.0	71.8	75.9	84.6	88.5	96.6
1990	NA	19.9	29.9	40.1	48.3	53.7	56.6	62.3	70.1	76.2	79.1	88.7
1991	9.5	19.2	29.8	39.0	47.0	53.5	57.4	62.8	68.2	73.7	73.8	77.1
1992	NA	20.7	30.4	40.9	47.4	55.3	61.2	62.4	66.7	73.3	83.9	81.8
1993	NA	NA	30.9	41.3	48.0	52.7	62.3	70.6	77.1	80.2	96.0	106.0
1994	NA	19.1	32.2	39.4	48.2	50.2	53.7	59.1	68.0	87.7	79.7	90.5
1995	NA	21.2	29.9	42.0	50.4	56.5	58.2	57.9	63.0	79.6	81.3	83.6
1996	12.6	20.8	30.0	38.7	44.2	52.9	60.9	61.2	63.3	76.8	74.7	86.1
1997	12.7	24.1	31.8	40.9	48.2	51.6	60.7	65.4	67.3	67.3	82.5	NA
1998	10.6	22.3	32.8	42.7	49.1	53.3	57.6	67.1	77.4	77.2	64.3	78.0
1999	12.0	22.4	31.4	43.2	51.4	58.9	61.7	66.2	77.6	86.8	76.9	109.0
2000	13.3	22.0	31.7	40.8	48.8	54.7	60.5	65.3	67.9	81.2	92.7	89.1
2001	10.6	21.9	33.2	40.6	47.6	51.4	57.4	68.8	77.5	75.0	85.5	96.8
2002	12.0	22.0	31.8	42.0	50.8	55.1	55.2	67.2	74.6	79.8	73.4	86.0
2003	10.7	23.7	31.9	43.0	51.8	55.4	58.6	58.7	70.5	72.0	65.5	86.6
2004	14.0	20.2	33.7	38.9	47.6	60.8	66.3	69.2	67.3	69.6	73.2	73.5
2005	12.1	25.5	34.2	41.9	48.6	54.5	63.5	67.6	72.3	72.6	99.2	103.4
2006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2007	11.1	21.2	30.7	38.1	48.9	54.9	55.8	64.9	81.7	91.6	86.9	86.6
2008	11.7	18.4	26.6	38.5	45.9	53.0	60.2	59.4	66.9	68.2	90.0	94.1
2009	12.3	19.1	31.3	38.7	46.7	55.0	60.5	63.5	72.3	76.0	83.3	87.2
2010	11.8	22.7	30.5	40.4	45.6	55.0	65.8	70.9	75.2	81.1	92.6	103.1
2011	14.0	23.5	30.2	40.1	47.1	49.5	56.1	61.7	73.8	53.2	NA	75.5
2012	11.1	18.6	34.2	41.7	48.1	55.8	53.9	61.0	72.2	73.8	105.0	107.0
2013	12.3	20.4	27.9	41.9	47.7	47.8	53.4	54.0	63.7	55.4	97.0	95.9
2014	10.6	20.9	30.2	35.0	47.8	53.4	54.5	63.2	65.0	59.3	NA	80.0
2015	11.9	20.9	30.5	39.8	45.0	53.8	56.5	56.0	64.5	72.4	87.0	NA
2016	12.2	19.4	29.7	38.6	45.3	48.8	55.7	61.4	57.0	72.4	96.0	NA
