"","Year","Start.date","End.date","No.days","No.set"
"1",1978,1978-02-21,1978-03-23,30,70
"2",1979,1979-02-21,1979-03-19,26,66
"3",1980,1980-03-04,1980-03-11,7,40
"4",1981,1981-02-24,1981-03-31,35,109
"5",1982,1982-03-05,1982-04-02,28,81
"6",1983,1983-02-10,1983-03-14,32,108
"7",1984,1984-02-15,1984-03-18,32,87
"8",1985,1985-02-10,1985-03-10,28,100
"9",1986,1986-02-05,1986-03-11,34,94
"10",1987,1987-02-04,1987-03-06,30,82
"11",1988,1988-02-09,1988-03-10,30,83
"12",1989,1989-02-16,1989-03-17,29,112
"13",1990,1990-02-28,1990-03-27,27,122
"14",1991,1991-02-20,1991-03-25,33,114
"15",1992,1992-02-17,1992-03-10,22,76
