Year	Age1	Age2	Age3	Age4	Age5	Age6	Age7	Age8	Age9	Age10	Age11	Age12
1983	0.01	0.07	0.22	0.66	1.29	1.59	2.15	3.44	3.87	5.22	8.81	10.34
1984	NA	0.07	0.25	0.63	1.13	1.84	2.74	3.84	4.26	5.06	8.09	10.03
1985	NA	NA	0.21	0.49	1.05	1.60	2.30	3.19	3.31	3.76	NA	3.97
1986	NA	0.05	0.17	0.45	0.87	1.36	2.39	3.25	5.42	4.41	6.42	9.16
1987	NA	NA	0.23	0.52	0.92	1.32	1.88	2.41	4.33	6.35	6.74	6.11
1988	NA	0.06	0.19	0.56	0.88	1.42	2.17	2.51	4.08	4.77	4.21	9.43
1989	NA	0.06	0.24	0.58	0.91	1.28	2.25	3.74	4.57	5.95	8.78	8.88
1990	NA	0.06	0.20	0.52	0.96	1.36	1.62	2.19	3.21	4.33	5.09	7.46
1991	0.01	0.05	0.20	0.45	0.84	1.33	1.74	2.37	3.09	4.08	4.10	5.09
1992	NA	0.06	0.22	0.54	0.89	1.44	2.06	2.32	2.91	4.15	5.90	5.81
1993	NA	NA	0.21	0.54	0.86	1.20	2.05	3.13	4.48	4.47	8.53	13.20
1994	NA	0.05	0.23	0.44	0.87	1.08	1.33	1.87	3.03	6.35	5.21	7.47
1995	NA	0.06	0.20	0.52	0.93	1.50	1.75	1.75	2.28	4.88	5.50	6.49
1996	0.02	0.07	0.22	0.46	0.71	1.21	2.04	2.19	2.41	4.46	3.99	7.01
1997	0.02	0.11	0.26	0.54	0.88	1.15	1.87	2.64	3.06	3.22	5.46	NA
1998	0.01	0.09	0.28	0.62	0.99	1.27	1.63	2.74	4.76	5.07	2.68	5.25
1999	0.01	0.10	0.28	0.64	1.10	1.72	2.08	2.57	4.39	6.87	5.12	13.16
2000	0.02	0.08	0.27	0.57	0.92	1.35	1.90	2.51	2.91	5.19	8.34	8.13
2001	0.01	0.08	0.28	0.55	0.87	1.16	1.67	2.96	4.39	4.35	6.09	9.05
2002	0.01	0.09	0.24	0.56	1.01	1.39	1.45	2.75	4.00	5.11	4.20	6.24
2003	0.01	0.10	0.27	0.61	1.10	1.46	1.83	1.74	3.15	3.76	2.64	6.56
2004	0.02	0.07	0.31	0.50	0.86	1.81	2.47	3.15	2.95	3.34	4.25	4.71
2005	0.01	0.14	0.34	0.62	1.00	1.37	2.24	3.12	4.06	4.47	10.31	11.30
2006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2007	0.01	0.08	0.23	0.46	0.95	1.44	1.57	2.54	5.34	8.17	7.66	7.82
2008	0.01	0.05	0.16	0.47	0.80	1.18	1.85	1.88	2.78	3.29	7.21	9.11
2009	0.01	0.05	0.24	0.47	0.79	1.39	1.96	2.42	3.68	4.27	6.26	7.07
2010	0.01	0.09	0.22	0.52	0.79	1.40	2.51	3.24	4.24	6.96	9.05	11.31
2011	0.02	0.11	0.24	0.50	0.87	1.09	1.67	2.35	3.80	1.30	NA	4.43
2012	0.01	0.05	0.33	0.60	0.89	1.45	1.35	2.20	3.82	4.02	9.23	12.61
2013	0.02	0.07	0.19	0.60	0.89	0.98	1.42	1.43	2.44	1.76	9.88	10.32
2014	0.01	0.08	0.21	0.35	0.86	1.28	1.36	2.24	2.65	2.20	NA	4.68
2015	0.01	0.07	0.22	0.49	0.77	1.34	1.58	1.56	2.65	4.02	5.67	NA
2016	0.01	0.05	0.19	0.45	0.73	1.02	1.45	2.17	1.30	3.28	9.68	NA
